"p_val","avg_logFC","pct.1","pct.2","p_val_adj","type","gene"
"KLRB1",1.04209697083951e-57,0.65767094098779,0.994,0.846,3.49321325595111e-53,"iNKT","KLRB1"
"TRAC",1.5965902334139e-39,0.685518197485929,0.877,0.621,5.35193012142674e-35,"iNKT","TRAC"
"GZMK",4.25552628275292e-32,0.595389742296087,0.714,0.365,1.42649496524161e-27,"iNKT","GZMK"
"IL7R",2.02847122483661e-30,0.568330268471411,0.828,0.55,6.79963839277481e-26,"iNKT","IL7R"
"TRDC",2.38552341137749e-28,-1.41480080175363,0.169,0.458,7.99651302727848e-24,"iNKT","TRDC"
"KLRD1",3.33646506611189e-26,-0.926654317590084,0.338,0.611,1.11841645481137e-21,"iNKT","KLRD1"
"TMSB10",1.81620778292511e-23,-0.299038700616198,0.997,0.999,6.08811010914325e-19,"iNKT","TMSB10"
"CMC1",1.93409117749579e-23,-1.00895804593692,0.271,0.524,6.48326703608365e-19,"iNKT","CMC1"
"LTB",4.7054151240162e-22,0.522099420401318,0.831,0.63,1.57730220372147e-17,"iNKT","LTB"
"CD40LG",7.70300727047437e-21,0.480626899265943,0.329,0.125,2.58212506713571e-16,"iNKT","CD40LG"
"TRGC2",7.71716108621291e-20,0.576336055552274,0.705,0.446,2.58686956770943e-15,"iNKT","TRGC2"
"IL32",4.405478833271e-18,0.293401833298601,0.975,0.847,1.47676055970077e-13,"iNKT","IL32"
"TRAV4",1.09319566778189e-17,0.281942279176196,0.114,0.019,3.66450119797168e-13,"iNKT","TRAV4"
"CLECL1",1.95943646590482e-16,0.290374953600551,0.12,0.023,6.56822697735955e-12,"iNKT","CLECL1"
"S100B",5.85975338108961e-16,0.747989110337482,0.283,0.117,1.96424793087505e-11,"iNKT","S100B"
"KLRF1",6.53736639939717e-16,-0.939046548696055,0.145,0.352,2.19139059074192e-11,"iNKT","KLRF1"
"CD8B",2.43532067059274e-15,-0.743994086139178,0.068,0.265,8.16343841989392e-11,"iNKT","CD8B"
"CCR2",9.7657998639677e-15,0.313994213110791,0.148,0.04,3.27359377240061e-10,"iNKT","CCR2"
"FCER1G",1.34474592721796e-13,-0.991740890691926,0.034,0.199,4.50772282262734e-09,"iNKT","FCER1G"
"SELL",2.47520729697902e-13,-0.609101153164225,0.08,0.267,8.29714238020338e-09,"iNKT","SELL"
"DPP4",8.9292381187272e-13,0.359762436421135,0.182,0.064,2.99316990977855e-08,"iNKT","DPP4"
"GNLY",1.40671147634456e-12,-0.930468359975166,0.649,0.754,4.7154375398546e-08,"iNKT","GNLY"
"DUSP1",1.39841233400183e-11,0.363306915397858,0.212,0.087,4.68761798480754e-07,"iNKT","DUSP1"
"FCGR3A",2.05328416282785e-11,-0.702064858538327,0.102,0.268,6.88281384221524e-07,"iNKT","FCGR3A"
"CEBPD",4.54879272275876e-11,0.315064155738962,0.295,0.143,1.52480080859597e-06,"iNKT","CEBPD"
"GZMB",6.11845607278595e-11,-0.730539041517179,0.32,0.489,2.05096766015858e-06,"iNKT","GZMB"
"AC092580.4",7.47654674482042e-10,0.356997748119655,0.545,0.37,2.50621323433125e-05,"iNKT","AC092580.4"
"ZBTB16",2.85076195878831e-09,0.275146365296509,0.225,0.105,9.5560391620543e-05,"iNKT","ZBTB16"
"LYAR",3.34390260389544e-09,0.321456960952983,0.557,0.384,0.000112090959185179,"iNKT","LYAR"
"PHACTR2",7.24879566974982e-09,0.315714418408408,0.262,0.135,0.000242986879645684,"iNKT","PHACTR2"
"TMEM14C",1.27726258969064e-08,0.307044323872872,0.16,0.068,0.000428151192690201,"iNKT","TMEM14C"
"CCR7",1.70314714229145e-08,-0.534199712943087,0.074,0.203,0.000570911953567516,"iNKT","CCR7"
"SPOCK2",2.59351496168549e-08,0.309418077492528,0.409,0.259,0.000869372150306594,"iNKT","SPOCK2"
"CD6",2.62813039099345e-08,0.314159832144115,0.237,0.122,0.000880975588364915,"iNKT","CD6"
"GPR171",2.6379642304769e-08,0.291841309192158,0.342,0.202,0.000884271989698161,"iNKT","GPR171"
"TC2N",3.04863580028252e-08,0.292118272380665,0.345,0.205,0.0010219332066127,"iNKT","TC2N"
"LEF1",3.85207635472825e-08,-0.395554809574012,0.034,0.144,0.00129125451486846,"iNKT","LEF1"
"CCL4",5.34684032108688e-08,-0.548965899785262,0.317,0.452,0.00179231434403153,"iNKT","CCL4"
"ERN1",7.27393119797799e-08,0.289719666477815,0.228,0.116,0.0024382944768742,"iNKT","ERN1"
"KLRC1",7.84741970927924e-08,-0.593990864821926,0.025,0.124,0.00263053356074749,"iNKT","KLRC1"
"CD8A",1.03127983480395e-07,-0.428194250869821,0.12,0.253,0.00345695313424632,"iNKT","CD8A"
"ZEB2",1.40439467497532e-07,-0.486499147360803,0.092,0.214,0.00470767138998475,"iNKT","ZEB2"
"GZMH",1.77087092494492e-07,-0.458744765333231,0.326,0.462,0.00593613642750788,"iNKT","GZMH"
"NKG7",2.02182928075239e-07,-0.384338711177054,0.951,0.921,0.00677737393201009,"iNKT","NKG7"
"FYB",5.38531698571535e-07,-0.380714516100651,0.28,0.407,0.0180521210678164,"iNKT","FYB"
"MBP",5.72521392933452e-07,-0.421075120747683,0.209,0.337,0.0191914896125222,"iNKT","MBP"
"ODF2L",6.25136579717844e-07,0.266970650750799,0.388,0.257,0.0209552032887218,"iNKT","ODF2L"
"SLC4A10",9.28700666434897e-07,0.274107093295903,0.185,0.093,0.0311309750395642,"iNKT","SLC4A10"
"FCRL6",2.26182429873769e-06,-0.395808040103244,0.074,0.173,0.075818612317986,"iNKT","FCRL6"
"HLA-DPB1",3.50937090075462e-06,-0.363965850853009,0.148,0.266,0.117637621964196,"iNKT","HLA-DPB1"
"SPON2",3.87196992602205e-06,-0.567364454451487,0.185,0.299,0.129792303890185,"iNKT","SPON2"
"FGFBP2",1.34087174927731e-05,-0.451703995234523,0.262,0.377,0.449473619075247,"iNKT","FGFBP2"
"LGALS1",1.73302186960855e-05,-0.503215966736535,0.188,0.289,0.580926260911483,"iNKT","LGALS1"
"TTC38",3.59891651010158e-05,-0.324149951457698,0.031,0.101,1,"iNKT","TTC38"
